"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"CMS","CMS"
"CMS No Route Page","CMS Не коренева сторінка"
"Layout Update XML","Layout Update XML"
"SEF URL Identifier","SEF URL ідентифікатор"
"Keywords","Ключові слова"
"Enabled","Показувати"
"Show breadcrumbs for CMS pages","Показувати стрічку шляху для сторінок CMS "
"Go to Home Page","Перейти на Головну сторінку"
"Custom Theme","Особлива тема"
"Custom Design","Особливий дизайн"
"Description","Опис"
"Poll Manager","Опитування"
"Title","Назва"
"Page Title","Назва сторінки"
"Block Title","Назва блоку"
"New Page","Нова сторінка"
"New Block","Новий блок"
"Disabled","Не показувати"
"Unable to find a page to delete","Неможливо знайти сторінки для видалення"
"Unable to find a block to delete","Неможливо знайти блоку для видалення"
"Edit Page","Редагувати сторінку"
"Edit Block","Редагувати блок"
"Edit Block '%s'","Редагувати блок '%s'"
"Edit Page '%s'","Редагування сторінки '%s'"
"Status","Статус"
"Page Status","Статус сторінки"
"Static Blocks","Статичні блоки"
"Page was successfully deleted","Сторінку було успішно видалено"
"Page was successfully saved","Сторінку було успішно збережено"
"Manage Pages","Сторінки"
"The page you are trying to save no longer exists","Сторінки, яку Ви намагаєтесь зберегти, вже не існує"
"This block no longer exists","Цього блоку вже не існує"
"This page no longer exists","Цієї сторінки вже не існує"
"Such a block identifier in selected store already exist.","Цей ідентифікатор блоку у вибраномій групі магазинів вже існує."
"Layout","Шаблон"
"Store View","Магазин"
"Meta Data","Мета дані"
"Meta Keywords","Мета ключові слова"
"Meta Description","Мета опис"
"Custom Theme From","Застосувати особливу тему починаючи з"
"Custom Theme To","Застосовувати особливу тему до"
"General Information","Загальна інформація"
"Save Page","Зберегти сторінку"
"Save Block","Зберегти блок"
"Content","Зміст"
"Last Modified","Змінено"
"Block was successfully deleted","Блок був успішно видалений"
"Block was successfully saved","Блок був успішно збережений "
"All countries","Всі країни"
"Delete Page","Видалити сторінку"
"Delete Block","Видалити блок"
"Home","Головна"
"CMS Home Page","Головна сторінка CMS"
"Action","Дія"
"Date Created","Дата створення"
"Add New Page","Додати нову сторінку"
"Add New Block","Додати новий блок"
"Identifier","Ідентифікатор"
"Page Identifier for specified store already exist.","Ідентифікатор сторінки для вказаної групи магазинів вже існує."
"Page Identifier cannot consist only of numbers.","Ідентифікатор сторінки не може складатись виключно з номерів."
"Page Information","Інформація про сторінку"
"Block Information","Інформація про блок"
"Product Tax Class Information","Інформація про клас податку товару"
"Customer Tax Class Information","Інформація про клас податку клієнта"
