"-- Please select --","-- Please select --"
"Base currency","Base currency"
"Connection timeout in seconds","Connection timeout in seconds"
"Country","Country"
"Country Api","Country Api"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Directory","Directory"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Webservicex","Webservicex"
"Country and Format Type combination should be unique","Країна та тип формату повинні бути унікальні"
"FATAL ERROR:","КРИТИЧНА ПОМИЛКА:"
"Continue &raquo;","Продовжити &raquo;"
"Service","Послуга"
"Enabled","Показувати"
"Currency Update Warnings","Попередження по оновлення валюти"
"Frequency","Періодичність"
"Invalid rates received","Отримані невірні курси"
"Invalid target currency","Невірна валюта призначення"
"Error Email Template","Невірний шаблон Email"
"Error Email Sender","Невірний відправник Email"
"Invalid country code: %s","Невірний код країни: %s"
"Error Email Recipient","Невірний отримувач Email "
"Undefined rate from ""%s-%s""","Невизначений курс з ""%s-%s"""
"Unable to initialize import model","Немодливо ініціалізувати модель імпорту"
"Cannot retrieve rate from %s","Неможливо отримати курс з %s"
"State/Province","Регіон/область"
"WARNING:","УВАГА:"
"Start Time","Час початку"
"Scheduled Import Settings","Запланований імпорт налаштувань"
"Installed Currencies","Встанвлені валюти"
"Currency Setup","Встановлення валюти"
"Your current currency is: %s","Ваша поточна валюта: %s"
"Currency Options","Варіанти валюти"
"Currency","Валюта"
"Default display currency","Валюта за замовчуванням"
"Select Your Currency","Виберіть Вашу валюту"
"Invalid Import Service Specified","Визначена невірна послуга імпорту"
"Allowed currencies","Дозволені валюти"
