"* Required Fields","* Required Fields"
"To","Кому"
"Gift Messages","Привітальні повідомлення"
"Gift message has been successfully saved","Привітальні повідомлення були успішно збережені"
"Gift Message","Привітальне повідомлення"
"Message","Повідомлення"
"Error while saving gift message","Помилка при збереженні привітального повідомлення"
"No","Ні"
"Unknown entity type","Невідомий тип об'єкту"
"Edit","Редагувати"
"Edit Gift Message","Редагувати привітальне повідомлення"
"Yes","Так"
"Item %d of %d","Товар %d з %d"
"Close","Закрити"
"You can leave a box blank if you don't wish to add a gift message for this address.","Залишіть це поле пустим, якщо Ви не бажаєте додавати привітального повідомлення для цієї адреси."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Залишіть це поле пустим, якщо Ви не бажаєте додавати привітального повідомлення для всього повідомлення."
"You can leave a box blank if you don't wish to add a gift message for the item.","Залишіть це поле пустим, якщо Ви не бажаєте додавати привітального повідомлення до товару."
"Save","Зберегти"
"Save Gift Message","Зберегти привітальне повідомлення"
"From","Від"
"Check this checkbox if you want to add gift messages.","Відмітьте цю галочку, якщо Ви бажаєте додати привітальні повідовмлення."
"Check this checkbox if you want to add gift messages to your items.","Відмітьте цю галочку, якщо Ви бажаєте додати привітальне повідовмлення для Ваших товарів."
"Cancel","Відмінити"
"Your gift message has been successfully removed","Ваше привітальне повідомлення було успішно видалено"
"Your gift message successfully removed","Ваше привітальне повідомлення було успішно видалено"
"Your gift message has been successfully saved","Ваше привітальне повідомлення було успішно збережено"
"Your gift message successfully saved","Ваше привітальне повідомлення було успішно збережено"
"Enter a gift message for this address.","Введіть привітальне повідомлення для цієї адреси."
"Enter a gift message for entire order.","Введіть привітальне повідомлення для всього замовлення."
"Enter a gift message for each item in your order.","Введіть привітальне повідомлення для кожного товару у Вашому замовленні."
"Are you sure?","Ви впевнені?"
"Do you have any gift items in your order?","Ви маєте подарункові товари у Вашому замовленні?"
"Remove","Видалити"
"Use config","Глобальне значення"
"Add","Додати"
"Add Gift Message","Додати привітальне повідомлення"
"Allow Gift Messages for Order Items","Дозволити використання привітальних повідомлень для замовлений товарів "
"Allow Gift Messages on Order Level","Дозволити використання привітальних повідомлень на рівні замовлень"
