"API Login ID","API Login ID"
"Authorize and Capture","Authorize and Capture"
"Authorize.net","Authorize.net"
"Debug","Debug"
"Error in capturing the payment","Error in capturing the payment"
"Gateway request error: %s","Gateway request error: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Payflow Pro","Payflow Pro"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"TENDER","TENDER"
"URL","URL"
"Use Proxy","Use Proxy"
"VERBOSITY","VERBOSITY"
"Transaction key","Ключ транзакції"
"User","Користувач"
"Partner","Партнер"
"Password","Пароль"
"Payment Action","Платіжна дія"
"Sort order","Порядок сортування"
"Error in refunding the payment","Помилка у повернені коштів"
"Error in refunding the payment.","Помилка у повернені коштів."
"Payment authorization error.","Помилка авторизація платежу."
"Error in authorizing the payment","Помилка в авторизації платежу"
"Error in retrieving the transaction","Помилка запиту транзакції"
"Error in payment gateway","Помилка платіжного шлюзу"
"Credit Card Verification","Перевірка кредитної картки"
"Payment from Specific countries","Оплата із зазначених країн"
"Payment from applicable countries","Оплата з усіх перелічених країн"
"Email customer","Надіслати лист клієнту"
"Invalid amount for authorization","Невірна сума для авторизації"
"Invalid amount for authorization.","Невірна сума для авторизації."
"Invalid transaction id","Невірний id транзакції"
"Voided transaction","Недійсна транзакція"
"Fraud order status","Стстус при шахрайстві"
"New order status","Статус нового замовлення"
"Authorize Only","Тільки авторизувати"
"Credit Card Types","Типи кредитних карток"
"Test mode","Тестовий режим"
"Payment authorization transaction has been declined.","У авторизації транзакції було відмовлено."
"Enabled","Увімкнено"
"Title","Заголовок"
"Merchant Login","Вхід в систему для Merchant"
"Merchant's email","Еmail адреса Merchant"
