"Amex","Amex"
"API User Name","API ім'я користувача"
"API Signature","API підпис"
"API Password","API пароль"
"Authorize and Capture","Authorize and Capture"
"Business Account","Business Account"
"Business Name","Business Name"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Discover","Discover"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"Incl. Tax","Incl. Tax"
"Invoice #%s created","Invoice #%s created"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"No shipping method required.","No shipping method required."
"Page Style","Page Style"
"PayPal Email","PayPal Email адреса"
"PayPal Express Checkout","PayPal Express Checkout"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"PayPal Uk Account","PayPal Uk Account"
"Paypal URL","Paypal URL"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Proxy Host","Proxy Хост"
"Proxy Port","Proxy порт"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Switch/Solo card issue number: %s","Switch/Solo серія картки: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo картка дійсна з: %s/%s"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Qty","Кількість"
"Selected currency code (","Код вибраної валюти ("
"Problem during communication with PayPal","Проблема з'єднання з системою PayPal"
"Sale","Продаж"
"Payment Action","Платіжна дія"
"Sort order","Порядок сортування"
"Error in creating an invoice","Помилка при створенні "
"Error in refunding the payment","Помилка при поверненні платежу"
"Received IPN verification","Отримано IPN перевірку"
"Place an Order","Оформити замовлення"
"Paypal Checkout","Оформлення замовлення Paypal"
"PayPal Accounts","Облікові записи PayPal "
"Update Shipping Method","Оновити метод доставки"
"Payment from Specific countries","Оплата із зазначених країн"
"Payment from applicable countries","Оплата з усіх перелічених країн"
"Authorization","Авторизація"
"Shipping Address","Адреса доставки"
"Submitting order information...","Надсилається інформаця про замовлення..."
"Product Name","Назва товару"
"Credit Card Number","Номер кредитної картки"
"Credit Card Number: xxxx-%s","Номер кредитної картки: xxxx-%s"
"Card Verification Number","Номер перевірки картки"
"N/A","Не доступний"
"Invalid transaction id","Невірний id транзакції"
"Unknown PayPal API error: %s","Невідома PayPal API помилка: %s"
"Edit Shopping Cart","Редагувати кошик"
"Debug Flag","Режим Debug"
"Sandbox Flag","Режим Sandbox"
"New order status","Статус нового замовлення"
"Payment Method","Спосіб оплати"
"Issue Number","Серія"
"Type","Тип"
"Transaction Type","Тип транзакції"
"Credit Card Type","Тип кредитної картки"
"Credit Card Type: %s","Тип кредитної картки: %s"
"Credit Card Types","Типи кредитної картки"
"Items in Your Shopping Cart","Товари у Вашому кошику"
"Enabled","Увімкнено"
"Price","Ціна"
"Shipping Method","Метод доставки"
"Order total amount does not match paypal gross total amount","Загальна сума по замовленню не співпадаю із загальною сумою в системі paypal "
"Title","Заголовок"
"Review Order","Залишити відгук про замовлення"
"Order","Замовлення"
"Change Payment Method","Змінити спосіб оплати"
"Change Shipping Address","Змінити адресу доставки"
"Please select a valid shipping method","Будь-ласка, виберіть вірний метод доставки"
"Please select a shipping method...","Будь-ласка, виберіть метод доставки..."
"Subtotal","Всього"
"There has been an error processing your payment. Please try later or contact us for help.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, спробуйте ще раз пізніше, або зверніться до нас за допомогою."
"There was an error during communication with Paypal: %s - %s","Відбулась помилка при підключенні до системи Paypal: %s - %s"
"There was an error connecting to the Paypal server: %s","Відбулась помилка при підключенні до сервера Paypal : %s"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Ваша адреса оплати не буде братись до уваги і Вас перенаправлять на вебсайт PayPal UK "
"Use Proxy","Використовувати Proxy"
"Expiration Date","Дійсна до"
"Expiration Date: %s/%s","Дійсна до: %s/%s"
"Start Date","Дата початку"
"What is this?","Детальніше про.."
"Name on Card","Ім'я на картці"
"Name on the Card: %s","Ім'я на картці: %s"
"Shipping Information","Інформація про доставку"
"Billing Information","Інформація по оплаті"
"Switch/Solo Only","Лише Switch/Solo"
