"Alert Email Sender","Alert Email Sender"
"Start Time","час початку"
"Click here not to receive alerts for this product","Клікніть сюди, якщо не бажаєте отримувати оповіщення для цього товару"
"Sign up for price alert","Підписатись на оповіщення про ціну товару"
"Alert subscription was deleted successfully","Підписка на оповіщення була успішно видалена"
"Alert subscription was saved successfully","Підписка на оповіщення була успішно збережена"
"Sign up to get notified when this product is back in stock","Підпишіться для отримання повідомлення, коли цей продукт знову поступить на склад"
"Error Email Recipient","Одержувач листа оповіщення"
"Product Alerts","Оповіщення для товарів"
"Product Alerts Run Settings","Оповіщення для товарів: налаштування виконання"
"Product alerts Cron error","Оповіщення для товарів: помилка в Cron-і "
"Product price alert","Оповіщення про ціну товару"
"Product stock alert","Оповіщення про наявність товару на складі"
"Special price:","Спеціальна ціна:"
"Product not found","Товар не знайдено"
"Price:","Ціна:"
"Frequency","Частота"
"Price alert Email Template","Шаблон листа оповіщення щодо ціни"
"Stock alert Email Template","Шаблон листа оповіщення про наявність товару на складі"
"Error Email Template","Шаблон листа про помилку"
"Please try again later","Будь-ласка, спробуйте ще раз пізніше"
"Unsubscribe from all price alerts","Відмінити підписку на всі оповіщення ціни товарів"
"Unsubscribe from all stock alerts","Відмінити підписку на всі оповіщення наявності товару на складі"
"Error Email Sender","Відправник листа про помилку"
"You will no longer receive price alerts for this product","Ви більше не будете отримувати оповіщення про ціну цього товару"
"You will no longer receive stock alerts","Ви більше не будете отримувати оповіщення про наявність товару на складі"
"You will no longer receive stock alerts for this product","Ви більше не будете отримувати оповіщення про наявність товару на складі"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Ви отримали це повідомлення через те, що ви підписались на отримання оповіщення про зміну ціни на наступних товари:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Ви отримали це повідомлення через те, що ви підписались на отримання оповіщення про появу наступних товарів на складі :"
"Not enough parameters","Вказано недостатньо параметрів "
"Allow alert when product price changes","Дозволити опоівщення якщо ціна продукту зміниться"
"Allow alert when product comes back in stock","Дозволити оповіщення, якщо товар знову появиться на складі"
