"1 star","1 star"
"2 stars","2 зірки"
"3 stars","3 зірки"
"4 stars","4 зірки"
"5 stars","5 зірок"
"ID","ID"
"Assigned Options","Призначені варіанти"
"Rating Visibility","Показ рейтингу"
"Rating isn't Available","На даний момент рейтинг недоступний"
"Rating Name","Назва рейтингу"
"Option Label","Назва варіанта"
"New Rating","Новий рейтинг"
"Edit Rating","Редагувати рейтинг"
"Rating with the same title","Рейтинг з ідентичним заголовком"
"Manage Ratings","Рейтинги"
"Be the first to review this product","Станьте першими в оцінці цього товару"
"If you do not specify a rating title for a store, the default value will be used.","Якщо ви не вкажете заголовок рейтингу для групи магазинів, буде використане значення за замовчуванням."
"Rating Title","Заголовок рейтингу"
"Option Title","Заголовок варіанта"
"Option Title:","Заголовок варіанта:"
"Save Rating","Зберегти рейтинг"
"Default Value","Значення за замовчуванням"
"Please select one of each ratings above","Будь-ласка, виберіть один з вищенаведених рейтингів"
"Rating Options","Варіанти рейтингу"
"Delete Rating","Видалит рейтинг"
"Visible In","Видимість"
"Add New Rating","Додати новий рейтинг"
"Rating Information","Інформація про рейтинг"
