"%d Review(s)","%d Review(s)"
"%s Review(s)","%s Відгук(ів)"
"(Posted on %s)","(Надіслано %s)"
"1 star","1 зірка"
"2 stars","2 зірки"
"3 stars","3 зірки"
"4 stars","4 зірки"
"5 stars","5 зірок"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"ID","ID"
"Manage Ratings","Manage Ratings"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Reviews and Ratings","Reviews and Ratings"
"Websites","Websites"
"Qty","Кількість"
"Customer","Клієнт"
"Summary Rating","Підсумкова оцінка"
"Back","Повернутись"
"Back to Main Product Info","Повернутись до інформації про продукт"
"Back to Product Reviews","Повернутись до відгуків про продукт"
"Back to My Reviews","Повернутись до Моїх Відгуків"
"View All Reviews","Переглянути всі відгуки"
"View Details","Переглянути деталі"
"Product Rating","Оцінка товару"
"Product Rating:","Оцінка товару:"
"Rating:","Оцінка:"
"SKU","Обліковий номер"
"Product SKU","Обліковий номер товару"
"Update status","Оновити статус"
"Administrator","Адміністратор"
"Submit Review","Надіслати відгук"
"Posted By","Надіслано"
"Name","Назва"
"Product Name","Назва товару"
"Name In Store","Назва в групі магазинів"
"Write Your Own Review","Напишіть власний відгук"
"New Review","Новий відгук"
"Unable to post review. Please, try again later.","Неможливо надіслати відгук, спробуйте ще раз."
"Edit Review '%s'","Редагувати відгук '%s'"
"Status","Статус"
"Created On","Створено"
"Average Customer Rating","Середня оцінка"
"Average Customer Rating:","Середня оцінка:"
"Type","Тип"
"Product","Товар"
"Price","Ціна"
"How do you rate this product?","Як мені оцінити цей продукт?"
"My Product Reviews","Мої відгуки про товари"
"My Recent Reviews","Мої нещодавні відгуки"
"Summary of Review","Заголовок"
"Summary of review","Заголовок"
"Title","Заголовок"
"Summary of Your Review","Заголовок відгуку"
"Be the first to review this product","Залишіть відгук про цей товар першими"
"Save Review","Зберегти відгук"
"Please select one of each of the ratings above","Будь-ласка, виберіть одну з вищенаведених оцінок"
"Please select a product","Будь-ласка, виберіть продукт"
"All Reviews","Всі відгуки"
"Review","Відгук"
"Review by %s","Відгук %s"
"Product Review (submitted on %s):","Відгук про товар(надіслано %s):"
"Pending Reviews","Відгуки в очікуванні"
"Customer Reviews","Відгуки клієнта"
"Product Reviews","Відгуки про товар"
"Your Review (submitted on %s):","Ваш відгук (надіслано %s):"
"Your review has been accepted for moderation","Ваш відгук був прийнятий на модерацію"
"Your Rating:","Ваша оцінка:"
"Are you sure you want to do this?","Ви впевнені?"
"Are you sure?","Ви впевнені?"
"You have submitted no reviews.","Ви не надіслали жодного повідомлення."
"You're reviewing: %s","Ви переглядате: %s"
"Delete","Видалити"
"Delete Review","Видалити відгук"
"Visible In","Видимий у"
"Guest","Гість"
"Add New Review","Додати новий відгук"
"Add Your Review","Додати Ваш відгук"
"Review Details","Деталі відгуку"
"Detailed Rating","Деталізований рейтинг"
"Nickname","Ім'я"
