"%s - Discounts and Coupons","%s - Discounts and Coupons"
"%s - Special Discounts","%s - Спеціальні знижки"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s досягнуло кількості %s."
"Category Feeds","Category Feeds"
"Miscellaneous Feeds","Miscellaneous Feeds"
"RSS","RSS"
"Rss Feeds Section","Rss Feeds Section"
"RSS testing","RSS testing"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"Total Products: %s","Total Products: %s"
"Purchased From: %s","Куплено з: %s"
"Catalog","Каталог"
"Top Level Category","Категорія найвищого рівня"
"To:","Кому:"
"Comment: %s<br/>","Коментар: %s<br/>"
"Summary of review: %s <br/>","Підсумок відгуку: %s <br/>"
"Gift Message","Привітальне повідомлення"
"Current Status: %s<br/>","Поточний статус: %s<br/>"
"Order # %s Notification(s)","Повідомлення замовлення # %s "
"Customer Order Status Notification","Повідомлення про статус замовлення клієнта"
"Message:","Повідомлення:"
"Tax","Податок"
"Error in processing xml. %s","Помилка при обробці xml. %s"
"click <a href=""%s"">here</a> to view the review","Перейдіть <a href=""%s"">сюди</a> для огляду відгуку"
"Rss Config","Налаштування Rss"
"New Products","Нові товари"
"New Products from %s","Нові товари від %s"
"New Orders","Нові замовлення"
"Cannot retrieve the wishlist","Неможливо завантажити список бажань"
"RSS Feeds","Стрічка новин RSS"
"Wishlist","Список бажань"
"%s's Wishlist","Список бажань %s"
"Special Products","Спеціальні товари"
"Special/Discount Products","Спеціальні товари/товари зі знижкою"
"Coupons/Discounts","Сертифікати/Знижки"
"Product: ""%s"" review By: %s","Товар: ""%s"" відгук від: %s"
"Product: <a href=""%s"">%s</a> <br/>","Товар: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Товари помічені з %s"
"Low Stock Products","Товари, що закінчуються на складі"
"Tags Products","Теги товарів"
"Enable RSS","Увімкнути RSS"
"Get Feed","Завантажити стрічку новин"
"Grand Total","Загальна вартість"
"Order #%s created at %s","Замовдення #%s створено %s"
"Discount ","Знижка"
"Total: %s<br/>","Всього: %s<br/>"
"From:","Від:"
"Pending product review(s)","Відгук(и) про товар в очікуванні"
"Review: %s <br/>","Відгук: %s <br/>"
"Subtotal","Вартість"
"Store: %s <br/>","Група магазинів: %s <br/>"
"Notified Date: %s<br/>","Дата повідомлення: %s<br/>"
"Shipping & Handling","Доставка і Транспортування"
"Details for %s #%s","Деталі %s #%s"
"Customer Name: %s","Ім'я клієнта: %s"
