"Add","Add"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"Invalid discount amount.","Invalid discount amount."
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Description: %s","Опис: %s"
"Name: %s","Назва: %s"
"FALSE","НЕ СПРАВДЖУЮТЬСя"
"TRUE","СПРАВДЖУЮТЬСя"
"If %s of these conditions are %s:","Якщо %s з цих умов %s:"
"is not","відсутній"
"by","до"
"to","до"
"is","присутній"
"Apply","Застосувати"
"Please choose a condition to add...","Будь-ласка, виберіть умову для додавання..."
"Please choose an action to add...","Будь-ласка, виберіть дію для додавання..."
"ANY","БУДЬ-ЯКІ"
"ALL","ВСІ"
"Open Chooser","Вибрати"
"Remove","Видалити"
"Perform following actions","Виконати наступні дії"
"Expire at: %s","Дата завершення: %s"
"Start at: %s","Дата початку: %s"
