"Add Recipient","Add Recipient"
"Email Address","Email адреса"
"Email Address:","Email адреса:"
"Email:","Email:"
"Some problems with data.","Проблеми з даними."
"Link to a friend was sent.","Посилання було успішно надіслано."
"Message:","Повідомлення:"
"Recipient:","Отримувач:"
"Limit Sending By","Обмеження надсилання"
"Email to a Friend","Надіслати другові"
"Send email","Надіслати листа"
"Send product to a friend","Надіслати листа з посиланням на цей продукт"
"Name","Назва"
"Name:","Назва:"
"Enabled","Увімкнено"
"Email templates","Шаблони листа"
"Select email template","виберіть шаблон листа"
"Max Recipients","Максимальна кількість одержувачів"
"Max Products Sent in 1 Hour","Максимальна кількість продуктів, що можна надіслати напротязі 1 години"
"Maximum %d email addresses allowed.","Максимально дозволено %d email адрес."
"Sender:","Відправник:"
"You cannot send more than %d times in an hour","Ви не можете надіслати листа більше %d раз на годину"
"You cannot email this product to a friend","Ви не можете надіслати листа з посиланням на цей продукт"
"Remove Email","Видалити Email"
"Allow for Guests","Дозволити для гостів"
"Some emails was not sent","Деякі листи не були надіслані"
